Gruppi;Categorie;Categoria
Casa;Affitto;Casa
Casa;Animali domestici;Casa
Casa;Arredamento;Casa
Casa;Casalinghi;Casa
Casa;Elettronica;Acquisti
Casa;Manutenzione;Casa
Casa;Mutuo;Casa
Casa;Servizi;Casa
Cibo e bevande;Alcolici;Personali
Cibo e bevande;Alimentari;Mangiare
Cibo e bevande;Ristorante;Personali
Intrattenimento;Cinema;Personali
Intrattenimento;Giochi;Personali
Intrattenimento;Musica;Personali
Intrattenimento;Sport;Personali
Spese personali;Abbigliamento;Acquisti
Spese personali;Asilo/Servizi per l'infanzia;Casa
Spese personali;Assicurazione;Casa
Spese personali;Istruzione;Salute e carriera
Spese personali;Regali;Personali
Spese personali;Spese mediche;Salute e carriera
Spese personali;Tasse;Casa
Trasporti;Aereo;Trasporto
Trasporti;Auto;Trasporto
Trasporti;Autobus/treno;Trasporto
Trasporti;Bicicletta;Trasporto
Trasporti;Carburante;Trasporto
Trasporti;Hotel;Personali
Trasporti;Parcheggio;Trasporto
Trasporti;Taxi;Trasporto
Utenze;Acqua;Casa
Utenze;Energia elettrica;Casa
Utenze;Pulizie;Casa
Utenze;Riscaldamento/gas;Casa
Utenze;Spazzatura;Casa
Utenze;TV/Telefono/Internet;Casa